idertifier,type.class,pretest.score,pretest.rank,posttest.score,posttest.rank,sex,likert.1,likert.2,likert.3,likert.4,likert.5,likert.6,likert.7,likert.8,likert.9,likert.10,likert.total
VIR1,virtual,40,2,100,5,1,3,4,3,3,4,4,4,2,4,2,3.3
VIR2,virtual,40,2,95,5,1,3,5,4,2,3,4,4,3,4,4,3.6
VIR3,virtual,60,3,85,5,2,4,4,3,3,4,3,4,2,3,2,3.2
VIR4,virtual,40,2,70,4,2,5,4,4,2,3,4,4,3,4,2,3.5
VIR5,virtual,60,3,75,4,1,4,4,3,3,4,3,4,2,4,2,3.3
VIR6,virtual,60,3,90,5,1,3,5,3,2,3,4,3,3,3,4,3.3
VIR7,virtual,40,2,80,4,2,4,4,4,3,4,3,3,2,3,2,3.2
VIR8,virtual,40,2,60,3,2,3,5,3,2,2,3,3,4,4,2,3.1
VIR9,virtual,20,1,90,5,2,4,5,3,3,4,4,3,4,4,3,3.7
VIR10,virtual,60,3,90,5,2,3,5,4,2,3,4,3,4,4,4,3.6
VIR11,virtual,40,2,55,3,1,3,5,4,3,4,4,4,4,4,3,3.8
VIR12,virtual,0,1,90,5,1,4,4,3,3,3,4,4,4,3,3,3.5
VIR13,virtual,40,2,75,4,1,3,4,3,3,3,3,4,4,2,3,3.2
VIR14,virtual,20,1,80,4,2,3,4,4,4,3,3,4,4,4,4,3.7
VIR15,virtual,20,1,90,5,2,5,4,4,3,4,3,3,4,4,4,3.8
VIR16,virtual,60,3,55,3,2,3,4,3,3,3,4,3,4,4,4,3.5
VIR17,virtual,40,2,85,5,2,4,4,2,3,2,4,4,4,4,4,3.5
VIR18,virtual,80,4,80,4,2,4,4,2,4,4,2,4,4,3,3,3.4
VIR19,virtual,60,3,80,4,1,5,4,3,3,3,3,4,4,3,3,3.5
VIR20,virtual,20,1,80,4,2,4,4,2,3,4,4,4,4,2,4,3.5
VIR21,virtual,80,4,85,5,2,4,4,3,3,4,4,4,4,4,4,3.8
VIR22,virtual,60,3,70,4,1,4,4,4,4,2,2,3,4,4,4,3.5
VIR23,virtual,80,4,65,4,2,4,4,4,4,4,2,3,4,4,4,3.7
VIR24,virtual,60,3,55,3,2,4,4,3,3,4,3,3,4,2,4,3.4
VIR25,virtual,60,3,75,4,2,4,4,4,4,4,4,4,3,4,5,4
PHY1,physical,40,2,90,5,1,4,4,5,4,3,5,4,4,4,4,4.1
PHY2,physical,40,2,60,3,2,4,2,4,4,4,4,3,4,4,5,3.8
PHY3,physical,40,2,60,3,2,4,4,4,2,4,4,3,4,4,4,3.7
PHY4,physical,60,3,85,5,2,3,4,4,2,3,4,4,3,4,5,3.6
PHY5,physical,20,1,75,4,2,4,4,5,4,4,5,4,4,3,4,4.1
PHY6,physical,60,3,90,5,1,4,4,4,2,3,5,4,3,4,5,3.8
PHY7,physical,20,1,85,5,2,4,4,4,4,4,4,4,3,4,5,4
PHY8,physical,40,2,80,4,2,4,4,3,4,3,4,4,4,4,5,3.9
PHY9,physical,20,1,85,5,1,4,2,4,4,4,4,4,4,4,4,3.8
PHY10,physical,80,4,75,4,2,4,4,4,3,3,4,4,3,4,4,3.7
PHY11,physical,20,1,75,4,1,5,4,3,3,4,3,4,3,4,4,3.7
PHY12,physical,0,1,70,4,2,5,4,4,3,3,4,4,4,3,4,3.8
PHY13,physical,0,1,85,5,1,5,4,4,4,4,3,4,4,4,4,4
PHY14,physical,0,1,90,5,2,4,4,3,4,2,4,3,4,4,4,3.6
PHY15,physical,20,1,80,4,2,4,4,4,4,4,4,3,4,4,4,3.9
PHY16,physical,20,1,80,4,2,3,4,4,4,5,3,4,4,4,4,3.9
PHY17,physical,40,2,80,4,1,4,4,5,3,4,4,3,4,3,4,3.8
PHY18,physical,60,3,80,4,2,4,4,3,4,5,2,3,4,3,4,3.6
PHY19,physical,20,2,80,4,2,4,4,5,4,4,4,3,4,3,4,3.9
PHY20,physical,60,3,85,5,1,4,2,5,5,5,2,3,4,3,4,3.7
PHY21,physical,60,3,85,5,2,4,4,5,3,4,4,3,4,3,4,3.8
PHY22,physical,80,4,80,4,2,3,2,5,5,5,4,3,4,5,4,4
PHY23,physical,20,1,50,3,1,3,2,5,5,4,2,3,4,5,4,3.7
PHY24,physical,40,2,65,4,1,4,2,5,5,5,4,3,4,5,4,4.1
