Date,Price,sip,units,,,
02/01/07,20310.1797,-10000,0.492363935,,,
01/02/07,20430.1602,-10000,0.489472422,,,
01/03/07,19346.5996,-10000,0.516886699,,,
02/04/07,19809.6992,-10000,0.504803223,,,
01/05/07,20318.9805,-10000,0.492150677,,,
01/06/07,20602.8691,-10000,0.485369293,,,
03/07/07,22151.1406,-10000,0.451444022,,,
01/08/07,22455.3594,-10000,0.445327987,,,
03/09/07,23904.0898,-10000,0.418338455,,,
01/10/07,27142.4707,-10000,0.368426298,,,
01/11/07,31492.8809,-10000,0.317532081,,,
03/12/07,28658.4199,-10000,0.348937591,,,
02/01/08,27560.5195,-10000,0.362837863,,,
01/02/08,24123.5801,-10000,0.41453217,,,
03/03/08,23584.9707,-10000,0.423998831,,,
01/04/08,23137.4609,-10000,0.432199542,,,
01/05/08,25755.3496,-10000,0.388268851,,,
02/06/08,24831.3594,-10000,0.402716575,,,
02/07/08,21704.4492,-10000,0.460735028,,,
01/08/08,22862.5996,-10000,0.437395579,,,
01/09/08,20906.3106,-10000,0.478324473,,,
02/10/08,18211.1094,-10000,0.549115366,,,
03/11/08,14344.3701,-10000,0.697137618,,,
01/12/08,14108.8398,-10000,0.708775501,,,
02/01/09,15042.8096,-10000,0.664769432,,,
02/02/09,12861.4902,-10000,0.777514879,,,
02/03/09,12317.46,-10000,0.811855691,,,
01/04/09,13519.54,-10000,0.739670137,,,
01/05/09,15520.9902,-10000,0.64428879,,,
01/06/09,18888.5898,-10000,0.529420148,,,
02/07/09,18178.0508,-10000,0.550113987,,,
03/08/09,20807.2598,-10000,0.480601487,,,
01/09/09,19872.3008,-10000,0.503212995,,,
01/10/09,20955.25,-10000,0.477207382,,,
02/11/09,21620.1895,-10000,0.462530636,,,
01/12/09,22113.1504,-10000,0.452219599,,,
04/01/10,21823.2793,-10000,0.458226276,,,
01/02/10,20243.75,-10000,0.493979623,,,
01/03/10,21056.9297,-10000,0.474903043,,,
01/04/10,21537,-10000,0.464317222,,,
03/05/10,20811.3594,-10000,0.480506814,,,
01/06/10,19496.9492,-10000,0.512900757,,,
01/07/10,20128.9902,-10000,0.49679591,,,
02/08/10,21412.7891,-10000,0.467010624,,,
01/09/10,20623.8301,-10000,0.484875988,,,
04/10/10,22618.6602,-10000,0.442112836,,,
01/11/10,23652.9395,-10000,0.422780433,,,
01/12/10,23249.8008,-10000,0.430111212,,,
03/01/11,23436.0508,-10000,0.42669305,,,
01/02/11,23482.9492,-10000,0.425840891,,,
01/03/11,23396.4199,-10000,0.42741582,,,
01/04/11,23801.9004,-10000,0.42013452,,,
02/05/11,23720.8106,-10000,0.421570754,,,
01/06/11,23626.4297,-10000,0.423254809,,,
04/07/11,22770.4707,-10000,0.439165274,,,
01/08/11,22663.3691,-10000,0.441240663,,,
01/09/11,20585.3301,-10000,0.485782834,,,
03/10/11,16822.1504,-10000,0.594454321,,,
01/11/11,19369.9609,-10000,0.516263303,,,
01/12/11,19002.2598,-10000,0.526253199,,,
03/01/12,18877.4102,-10000,0.529733681,,,
01/02/12,20333.3691,-10000,0.491802414,,,
01/03/12,21387.9609,-10000,0.467552753,,,
02/04/12,20522.2598,-10000,0.487275773,,,
02/05/12,21309.0801,-10000,0.469283514,,,
01/06/12,18558.3398,-10000,0.538841303,,,
02/07/12,19441.4609,-10000,0.514364638,,,
01/08/12,19820.3809,-10000,0.504531172,,,
03/09/12,19559.2109,-10000,0.51126807,,,
01/10/12,20840.3809,-10000,0.479837679,,,
01/11/12,21821.8691,-10000,0.458255888,,,
03/12/12,21767.8496,-10000,0.459393104,,,
02/01/13,23311.9805,-10000,0.428963983,,,
01/02/13,23721.8398,-10000,0.421552463,,,
01/03/13,22880.2207,-10000,0.437058721,,,
01/04/13,22299.6309,-10000,0.448437916,,,
01/05/13,22737.0098,-10000,0.439811571,,,
03/06/13,22282.1895,-10000,0.448788931,,,
01/07/13,20803.2891,-10000,0.480693219,,,
01/08/13,22088.7891,-10000,0.452718343,,,
02/09/13,22175.3398,-10000,0.450951376,,,
02/10/13,22984.4805,-10000,0.435076181,,,
01/11/13,23249.7891,-10000,0.430111428,,,
02/12/13,24038.5508,-10000,0.415998455,,,
02/01/14,23340.0508,-10000,0.428448082,,,
04/02/14,21397.7695,-10000,0.46733843,,,
03/03/14,22500.6699,-10000,0.444431212,,,
01/04/14,22448.5391,-10000,0.445463286,,,
02/05/14,22260.6699,-10000,0.449222779,,,
03/06/14,23291.0391,-10000,0.429349672,,,
02/07/14,23549.6191,-10000,0.424635318,,,
01/08/14,24532.4297,-10000,0.40762371,,,
01/09/14,24752.0898,-10000,0.404006291,,,
03/10/14,23064.5606,-10000,0.433565598,,,
03/11/14,23915.9707,-10000,0.418130634,,,
01/12/14,23367.4492,-10000,0.427945725,,,
02/01/15,23721.3008,-10000,0.421562042,,,
02/02/15,24484.7402,-10000,0.408417648,,,
02/03/15,24887.4395,-10000,0.401809113,,,
01/04/15,25082.75,-10000,0.398680368,,,
01/05/15,28133,-10000,0.355454449,,,
01/06/15,27597.1602,-10000,0.362356124,,,
02/07/15,26282.3203,-10000,0.38048391,,,
03/08/15,24411.4199,-10000,0.40964434,,,
01/09/15,21185.4297,-10000,0.472022524,,,
02/10/15,21506.0898,-10000,0.464984574,,,
02/11/15,22370.0391,-10000,0.447026487,,,
01/12/15,22381.3496,-10000,0.446800581,,,
04/01/16,21327.1191,-10000,0.468886583,,,
01/02/16,19595.5,-10000,0.510321247,,,
01/03/16,19407.4609,-10000,0.515265755,,,
01/04/16,20498.9199,-10000,0.487830581,,,
03/05/16,20676.9395,-10000,0.483630568,,,
01/06/16,20760.9805,-10000,0.481672819,,,
04/07/16,21059.1992,-10000,0.474851864,,,
01/08/16,22129.1406,-10000,0.451892831,,,
01/09/16,23162.3398,-10000,0.431735312,,,
03/10/16,23584.4297,-10000,0.424008557,,,
01/11/16,23147.0703,-10000,0.432020116,,,
01/12/16,22878.2305,-10000,0.437096741,,,
03/01/17,22150.4004,-10000,0.451459108,,,
01/02/17,23318.3906,-10000,0.428846063,,,
01/03/17,23776.49,-10000,0.420583526,,,
03/04/17,24261.48,-10000,0.412176009,,,
02/05/17,24696.13,-10000,0.404921743,,,
01/06/17,25809.22,-10000,0.387458435,,,
03/07/17,25784.17,-10000,0.387834861,,,
01/08/17,27540.23,-10000,0.363105174,,,
01/09/17,27953.16,-10000,0.357741307,,,
03/10/17,28173.21,-10000,0.354947129,,,
01/11/17,28594.06,-10000,0.349722984,,,
01/12/17,29074.24,-10000,0.343947082,,,
02/01/18,30515.31,-10000,0.327704356,,,
01/02/18,32642.09,-10000,0.306352933,,,
01/03/18,31044.25,-10000,0.322120844,,,
03/04/18,30180.1,-10000,0.331344164,,,
02/05/18,30723.88,-10000,0.325479725,,,
01/06/18,30492.91,-10000,0.327945086,,,
03/07/18,28545.57,-10000,0.350317054,,,
01/08/18,28340.74,-10000,0.352848938,,,
04/09/18,27973.34,-10000,0.357483232,,,
02/10/18,27126.38,-10000,0.368644839,,,
01/11/18,25416,-10000,0.393452943,,,
03/12/18,27182.04,-10000,0.367889974,,,
02/01/19,25130.35,-10000,0.397925218,,,
01/02/19,27930.74,-10000,0.358028466,,,
01/03/19,28812.17,-10000,0.347075559,,,
01/04/19,29562.02,-10000,0.338271877,,,
02/05/19,29944.18,-10000,0.333954712,,,
03/06/19,26893.86,-10000,0.371832084,,,
02/07/19,28875.56,-10000,0.34631363,,,
01/08/19,27565.7,-10000,0.362769674,,,
03/09/19,25527.85,-10000,0.391729033,,,
02/10/19,26042.69,-10000,0.383984911,,,
01/11/19,27100.76,-10000,0.368993342,,,
02/12/19,26444.72,-10000,0.37814732,,,
02/01/20,28543.52,-10000,0.350342214,,,
03/02/20,26356.98,-10000,0.379406138,,,
02/03/20,26291.68,-10000,0.38034846,,,
01/04/20,23085.79,-10000,0.433166896,,,
04/05/20,23613.8,-10000,0.423481185,,,
01/06/20,23732.52,-10000,0.421362755,,,
02/07/20,25124.19,-10000,0.398022782,,,
03/08/20,24458.13,-10000,0.408862002,,,
01/09/20,25184.85,-10000,0.397064108,,,
05/10/20,23767.78,-10000,0.420737654,,,
02/11/20,24460.01,-10000,0.408830577,,,
01/12/20,26567.68,-10000,0.376397186,,,
04/01/21,27472.81,-10000,0.363996257,,,
01/02/21,28892.86,-10000,0.34610627,,,
01/03/21,29452.57,-10000,0.339528944,,,
01/04/21,28938.74,-10000,0.345557547,,,
03/05/21,28357.54,-10000,0.352639898,,,
01/06/21,29468,-10000,0.339351161,,,
02/07/21,28310.42,-10000,0.353226833,,,
02/08/21,26235.8,-10000,0.38115857,,,
01/09/21,26028.29,-10000,0.384197348,,,
04/10/21,24036.37,-10000,0.416036198,,,
01/11/21,25154.32,-10000,0.397546028,,,
01/12/21,23658.92,-10000,0.422673562,,,
03/01/22,23274.75,-10000,0.429650157,,,
04/02/22,24573.29,-10000,0.406945916,,,
01/03/22,22761.71,-10000,0.439334303,,,
01/04/22,22039.55,-10000,0.453729772,,,
03/05/22,21101.89,-10000,0.473891201,,,
01/06/22,21294.94,-10000,0.469595124,,,
05/07/22,21853.07,-10000,0.457601609,,,
01/08/22,20165.84,-10000,0.495888096,,,
01/09/22,19597.31,-10000,0.510274114,,,
03/10/22,17079.51,-10000,0.585496891,,,
01/11/22,15455.27,-10000,0.647028489,,,
01/12/22,18736.44,-10000,0.533719319,,,
03/01/23,20145.29,-10000,0.496393946,,,
04/02/23,20400.11,-10000,0.490193435,,,
05/03/23,19786,-10000,0.505407864,,,
01/04/23,19894.57,-10000,0.502649718,,,
01/04/23,19894.57,-10000,0.502649718,,,
01/05/23,18234.27,-10000,0.548417897,,,
01/06/23,18916.43,-10000,0.528640975,,,
01/07/23,20078.94,-10000,0.498034259,,,
01/08/23,18382.06,-10000,0.544008669,,,
01/09/23,17809.66,-10000,0.561493032,,,
01/10/23,17112.48,-10000,0.584368835,,,
01/11/23,17042.88,-10000,0.58675529,,,
01/12/23,17047.39,-10000,0.58660006,,,
01/01/24,15485.07,-10000,0.645783325,,,
01/02/24,16511.44,-10000,0.605640695,,,
01/03/24,16541.42,-10000,0.60454302,,,
01/04/24,17763.03,-10000,0.562967016,,,
01/05/24,18079.61,-10000,0.553109276,,,
01/06/24,17718.61,-10000,0.564378357,,,
01/07/24,17344.6,-10000,0.576548321,,,
01/08/24,17989.07,-10000,0.555893106,,,
01/09/24,21133.68,-10000,0.473178358,,,
01/10/24,20317.33,-10000,0.492190657,,,
01/11/24,19423.61,-10000,0.514837355,,,
01/12/24,20059.95,-10000,0.498505729,,,
01/01/25,20225.11,-10000,0.494434888,,,
01/02/25,22941.32,-10000,0.435894709,,,
01/03/25,23483.32,-10000,0.425834167,,,
01/04/25,23483,2338091.052,99.56390544,,,
,,,,,,
,,,,,,
,,0.661765635,,,,
,,,,,,
,,,,,,
